id,make,model,model_year,vin
970,Chevrolet,Suburban,2008,19XFA1E3XBE662940
971,Cadillac,XLR-V,2007,WBA3K5C56FK042713
972,Toyota,Camry Solara,2006,WDDHF5KB2EA595308
973,Pontiac,6000,1990,WAUNG74F59N635253
974,Volvo,S80,2012,WAU2GAFC5DN268690
975,Kia,Sportage,1995,3D73Y3HL1BG098482
976,Toyota,Celica,1993,WBAYE8C56FD836923
977,Jeep,Grand Cherokee,1994,WAUVC68E52A264924
978,Ford,Econoline E150,2002,WBAKE5C51DJ367646
979,Mercury,Cougar,1984,WBA3T3C52F5906723
980,Lotus,Exige,2009,NM0KS9BN7DT845851
981,Toyota,Highlander,2009,2C3CCABG7FH950949
982,Acura,RL,2007,WAUKF98EX6A042073
983,Oldsmobile,88,1995,WAUEFAFL9EN857419
984,Kia,Rio,2001,JH4DC53076S227442
985,Buick,Reatta,1990,WAUKFAFL1EN561586
986,Land Rover,Range Rover,2004,WBABW53466P651892
987,Jeep,Cherokee,1994,WA1LMAFE7CD248747
988,Volkswagen,New Beetle,2008,2C3CCAXJ9DH926394
989,GMC,1500 Club Coupe,1998,4F2CY0C70BK680701
990,Mazda,B-Series,2008,WBAUP3C58BV656942
991,Mitsubishi,Mighty Max Macro,1994,3GYFK52299G010030
992,Lincoln,Navigator L,2007,2G4GZ5GV5B9018081
993,Chevrolet,Impala,2002,WBASP4C51BC951891
994,Mercedes-Benz,W201,1984,WAUEFAFL7EN395829
995,Ford,Mustang,1987,5LMJJ2JTXFE872373
996,Mazda,CX-9,2009,3GTU2YEJ5CG508332
997,Jeep,Patriot,2009,1GYFK66818R080897
998,BMW,7 Series,1992,1FTSX2A56AE192584
999,Pontiac,1000,1985,4JGDF2EE6EA475682
1000,Land Rover,Defender Ice Edition,2010,1C3BC1FB7BN515005
